,year,title,n_steps,start_length,end_length,compression
350_2014,2014,35,1284,449949.9740454556,381398.092706647,0.8476455488540973
350_2015,2015,35,1293,452204.33726984606,383060.17139678984,0.8470953058732043
350_2016,2016,35,1293,452204.33726984606,383060.17139678984,0.8470953058732043
350_2017,2017,35,1293,452204.33726984606,383060.17139678984,0.8470953058732043
350_2018,2018,35,1293,452204.33726984606,383060.17139678984,0.8470953058732043
350_2019,2019,35,1293,452204.33726984606,383060.17139678984,0.8470953058732043
360_1994,1994,36,5097,1382253.8269379924,946595.6488321408,0.6848204218244534
360_1995,1995,36,5104,1389452.4321789017,952729.516216854,0.6856870333609113
360_1996,1996,36,5224,1441617.3382504128,994309.6753533431,0.6897181720636526
360_1997,1997,36,5255,1455522.8004278482,1002694.4603963969,0.6888895592028217
360_1998,1998,36,3200,793946.9779456776,462062.8759168522,0.581982032493443
360_1999,1999,36,3209,807509.425060389,473629.8886347894,0.5865317158364676
360_2000,2000,36,3257,821885.7970138511,485104.8276202566,0.5902338614230623
360_2001,2001,36,3262,823146.4883365507,485985.41025150166,0.5903996641394919
360_2002,2002,36,3369,839398.2373425773,497612.04601174843,0.592819979688213
360_2003,2003,36,3380,839197.2030075616,497794.40188150015,0.5931792909908147
360_2004,2004,36,3380,839727.4331421576,498312.84018911404,0.5934221278498526
360_2005,2005,36,3384,840005.1399447634,498395.27182014997,0.5933240740085509
360_2006,2006,36,3391,841971.3348583833,499757.2538421998,0.593556138020135
360_2007,2007,36,3418,851862.8528651568,507633.36136107316,0.5959097284893904
360_2008,2008,36,3411,859019.4375718512,512824.4533173387,0.5969881831392719
360_2009,2009,36,3460,865947.3476152833,516676.25474953884,0.5966601273996672
360_2010,2010,36,3460,865947.3476152833,516676.25474953884,0.5966601273996672
360_2011,2011,36,3458,866286.3375296269,517013.1989358532,0.5968155984200448
360_2012,2012,36,3454,865200.4953475331,516049.1174365818,0.5964503259204625
360_2013,2013,36,3408,857620.8104798842,511264.44186953787,0.5961427656862226
360_2014,2014,36,3404,857535.6108534294,511379.47202957666,0.5963361352663196
360_2015,2015,36,3407,859934.6783177555,513241.03920545423,0.5968372390906254
360_2016,2016,36,3407,866852.4625770417,518203.3607185718,0.5977987986306451
360_2017,2017,36,3411,868085.9155095776,519174.41303689126,0.598068006589105
360_2018,2018,36,3449,886040.3074239244,533408.0943482268,0.6020133507233533
360_2019,2019,36,3491,885903.5023850672,535283.731041975,0.6042235182509847
370_1994,1994,37,1630,472085.8774733733,363406.18959743413,0.769788309581303
370_1995,1995,37,1628,472427.48913764313,363697.12603561213,0.7698475097194184
370_1996,1996,37,1717,492942.295230071,377423.7607848272,0.7656550562549561
370_1997,1997,37,1734,496912.48969599465,379444.0292110049,0.7636033246883056
370_1998,1998,37,1734,499942.1808869153,381888.9657142145,0.7638662635681787
370_1999,1999,37,1866,536658.0876102665,407764.65372421854,0.7598220601500496
370_2000,2000,37,1924,566491.6515912621,427737.09489805286,0.7550633688891074
370_2001,2001,37,2014,595962.217101426,449371.5597571105,0.7540269279866656
370_2002,2002,37,2021,597386.4641877627,450678.57895576174,0.7544171252164669
370_2003,2003,37,2081,614151.2017739101,462296.4185367928,0.7527403955271911
370_2004,2004,37,2105,632687.4824614639,475695.6469713507,0.7518651153341328
370_2005,2005,37,1985,631297.666643525,479029.3112133973,0.7588010165795384
370_2006,2006,37,2064,643841.4259322172,485455.06035445223,0.7539978646940316
370_2007,2007,37,2064,643841.4259322172,485455.06035445223,0.7539978646940316
370_2008,2008,37,2371,737468.0725670711,547645.3696416392,0.7426021410463598
370_2009,2009,37,2460,759012.8868524372,564062.3029096607,0.7431524716909351
370_2010,2010,37,2487,762341.1626443081,565469.7665115928,0.7417542095590984
370_2011,2011,37,2578,794629.6188064731,588120.4580584717,0.7401189738457316
370_2012,2012,37,2607,800080.9308082206,591428.5072882219,0.7392108529455593
370_2013,2013,37,2596,797631.5776927348,589899.2111085329,0.7395635122858376
370_2014,2014,37,2609,798262.6567663882,590268.7156717045,0.7394417246859223
370_2015,2015,37,2604,801046.8751435264,592336.988229212,0.7394535908065067
370_2016,2016,37,2607,806907.3518566416,597096.3922518371,0.7399813508675525
370_2017,2017,37,2697,823960.747995575,607490.5445522834,0.7372809275564494
370_2018,2018,37,2694,823369.0793751043,606934.6466068627,0.7371355833127661
370_2019,2019,37,2710,827675.2311306014,610793.7305786394,0.7379630410641833
380_1994,1994,38,5245,2556856.884531977,2010742.9118664754,0.7864119904523065
380_1995,1995,38,5241,2555154.2810206087,2009543.9507226085,0.7864667764484005
380_1996,1996,38,5276,2610880.7601402635,2052490.909659482,0.7861297003656409
380_1997,1997,38,5353,2652334.7920100726,2084153.8250545696,0.7857808265128903
380_1998,1998,38,5447,2705802.6702853125,2122681.1989406506,0.7844922404178222
380_1999,1999,38,5541,2756677.163227414,2160928.865053084,0.7838889855797079
380_2000,2000,38,5629,2811369.948353425,2202000.660014701,0.7832482741392246
380_2001,2001,38,5790,2920585.639190229,2284926.6574562886,0.7823522196355847
380_2002,2002,38,5837,2958266.854179929,2315604.2497809003,0.7827570546953976
380_2003,2003,38,5916,2975562.0972317555,2327846.370991594,0.7823215563732484
380_2004,2004,38,6073,3030030.524315095,2367746.9979245197,0.7814267806624564
380_2005,2005,38,6093,3041619.0699857054,2377672.6820861027,0.7817128402266615
380_2006,2006,38,6297,3187956.957396411,2488508.4449275434,0.7805966260472652
380_2007,2007,38,6310,3197769.138986843,2496165.6678646356,0.7805959590489705
380_2008,2008,38,6513,3362394.2668223106,2610362.903741833,0.7763405170830254
380_2009,2009,38,6504,3368023.4662140254,2614148.656820211,0.7761669961755817
380_2010,2010,38,6748,3498140.8750603436,2706898.755849375,0.7738106761645728
380_2011,2011,38,6714,3515342.3241118747,2721016.8276189286,0.7740403570245107
380_2012,2012,38,6833,3596176.8751476402,2782658.909715959,0.7737825491694474
380_2013,2013,38,6781,3576388.8645926593,2769674.164419356,0.774433169681288
380_2014,2014,38,6810,3594078.4775949866,2783009.0200749356,0.7743317341076018
380_2015,2015,38,6829,3607889.1954853083,2792778.622505979,0.7740754971080296
380_2016,2016,38,6946,3722755.4187122337,2876672.0687206294,0.7727265815694443
380_2017,2017,38,7063,3788065.4945547907,2921383.5223625884,0.7712072366652513
380_2018,2018,38,7274,3936486.215907199,3031043.3467759676,0.7699870342559897
