text,counts,file
Saturdays,1,030_2013.xml
Sundays,1,030_2013.xml
Tuesday,1,030_2014.xml
Monday,2,030_2014.xml
Wednesday,3,030_2014.xml
Sunday,1,030_2014.xml
Saturdays,1,030_2014.xml
Sundays,1,030_2014.xml
Tuesday,1,030_2015.xml
Monday,2,030_2015.xml
Wednesday,3,030_2015.xml
Sunday,1,030_2015.xml
Saturdays,1,030_2015.xml
Sundays,1,030_2015.xml
Tuesday,1,030_2016.xml
Monday,2,030_2016.xml
Wednesday,3,030_2016.xml
Sunday,1,030_2016.xml
Saturdays,1,030_2016.xml
Sundays,1,030_2016.xml
Tuesday,1,030_2017.xml
Monday,2,030_2017.xml
Wednesday,3,030_2017.xml
Sunday,1,030_2017.xml
Saturdays,1,030_2017.xml
Sundays,1,030_2017.xml
Tuesday,1,030_2018.xml
Monday,2,030_2018.xml
Wednesday,3,030_2018.xml
Sunday,1,030_2018.xml
Saturdays,1,030_2018.xml
Sundays,1,030_2018.xml
Tuesday,1,030_2019.xml
Monday,2,030_2019.xml
Wednesday,3,030_2019.xml
Sunday,1,030_2019.xml
Saturdays,1,030_2019.xml
Sundays,1,030_2019.xml
Monday,4,040_1998.xml
Sunday,2,040_1998.xml
Saturday,1,040_1998.xml
Thursday,1,040_1998.xml
Monday,5,040_1999.xml
Sunday,2,040_1999.xml
Saturday,1,040_1999.xml
Thursday,1,040_1999.xml
Monday,5,040_2000.xml
Sunday,2,040_2000.xml
Saturday,1,040_2000.xml
Thursday,1,040_2000.xml
Monday,5,040_2001.xml
Sunday,2,040_2001.xml
Saturday,1,040_2001.xml
Thursday,1,040_2001.xml
Monday,5,040_2002.xml
Sunday,2,040_2002.xml
Saturday,1,040_2002.xml
Thursday,1,040_2002.xml
Monday,5,040_2003.xml
Sunday,2,040_2003.xml
Saturday,1,040_2003.xml
Thursday,1,040_2003.xml
Monday,5,040_2004.xml
Sunday,2,040_2004.xml
Saturday,1,040_2004.xml
Thursday,1,040_2004.xml
Monday,5,040_2005.xml
Sunday,2,040_2005.xml
Saturday,1,040_2005.xml
Thursday,1,040_2005.xml
Monday,5,040_2006.xml
Sunday,2,040_2006.xml
Saturday,1,040_2006.xml
Thursday,1,040_2006.xml
Monday,5,040_2007.xml
Sunday,2,040_2007.xml
Saturday,1,040_2007.xml
Thursday,1,040_2007.xml
Monday,5,040_2008.xml
Sunday,3,040_2008.xml
Saturday,1,040_2008.xml
Thursday,1,040_2008.xml
Monday,5,040_2009.xml
Sunday,3,040_2009.xml
Saturday,1,040_2009.xml
Thursday,1,040_2009.xml
Monday,5,040_2010.xml
Sunday,3,040_2010.xml
Saturday,1,040_2010.xml
Thursday,1,040_2010.xml
Monday,5,040_2011.xml
Sunday,3,040_2011.xml
Saturday,1,040_2011.xml
Thursday,1,040_2011.xml
Monday,5,040_2012.xml
Sunday,3,040_2012.xml
Saturday,1,040_2012.xml
Thursday,1,040_2012.xml
Monday,5,040_2013.xml
Sunday,3,040_2013.xml
Saturday,1,040_2013.xml
Thursday,1,040_2013.xml
Monday,5,040_2014.xml
Sunday,3,040_2014.xml
Saturday,1,040_2014.xml
Thursday,1,040_2014.xml
Monday,5,040_2015.xml
Sunday,3,040_2015.xml
Saturday,1,040_2015.xml
Thursday,1,040_2015.xml
Monday,5,040_2016.xml
Sunday,3,040_2016.xml
Saturday,1,040_2016.xml
Thursday,1,040_2016.xml
Monday,5,040_2017.xml
Sunday,3,040_2017.xml
Saturday,1,040_2017.xml
Thursday,1,040_2017.xml
Monday,5,040_2018.xml
Sunday,3,040_2018.xml
Saturday,1,040_2018.xml
Thursday,1,040_2018.xml
Monday,5,040_2019.xml
Sunday,3,040_2019.xml
Saturday,1,040_2019.xml
Thursday,1,040_2019.xml
Saturdays,9,050_1994.xml
Sundays,9,050_1994.xml
Sunday,11,050_1994.xml
Saturday,3,050_1994.xml
Monday,9,050_1994.xml
Friday,4,050_1994.xml
Thursday,1,050_1994.xml
Saturdays,9,050_1995.xml
Sundays,9,050_1995.xml
Sunday,11,050_1995.xml
Saturday,3,050_1995.xml
Monday,9,050_1995.xml
Friday,4,050_1995.xml
Thursday,1,050_1995.xml
Saturdays,9,050_1996.xml
Sundays,9,050_1996.xml
Sunday,11,050_1996.xml
Saturday,3,050_1996.xml
Monday,9,050_1996.xml
Friday,4,050_1996.xml
Thursday,1,050_1996.xml
Saturdays,9,050_1997.xml
Sundays,9,050_1997.xml
Sunday,11,050_1997.xml
Saturday,3,050_1997.xml
Monday,9,050_1997.xml
Friday,4,050_1997.xml
Thursday,1,050_1997.xml
Saturdays,9,050_1998.xml
Sundays,9,050_1998.xml
Sunday,15,050_1998.xml
Saturday,3,050_1998.xml
Monday,13,050_1998.xml
Friday,5,050_1998.xml
Thursday,1,050_1998.xml
Saturdays,9,050_1999.xml
Sundays,9,050_1999.xml
Sunday,15,050_1999.xml
Saturday,3,050_1999.xml
Monday,13,050_1999.xml
Friday,5,050_1999.xml
Thursday,1,050_1999.xml
Saturdays,9,050_2000.xml
Sundays,9,050_2000.xml
Sunday,15,050_2000.xml
Saturday,3,050_2000.xml
Monday,13,050_2000.xml
Friday,5,050_2000.xml
Thursday,1,050_2000.xml
Saturdays,9,050_2001.xml
Sundays,9,050_2001.xml
Sunday,15,050_2001.xml
Saturday,3,050_2001.xml
Monday,13,050_2001.xml
Friday,5,050_2001.xml
Thursday,1,050_2001.xml
Saturdays,9,050_2002.xml
Sundays,9,050_2002.xml
Sunday,15,050_2002.xml
Saturday,3,050_2002.xml
Monday,13,050_2002.xml
Friday,5,050_2002.xml
Thursday,1,050_2002.xml
Saturdays,9,050_2003.xml
Sundays,9,050_2003.xml
Sunday,15,050_2003.xml
Saturday,3,050_2003.xml
Monday,13,050_2003.xml
Friday,5,050_2003.xml
Thursday,1,050_2003.xml
Saturdays,9,050_2004.xml
Sundays,9,050_2004.xml
Sunday,15,050_2004.xml
Saturday,3,050_2004.xml
Monday,13,050_2004.xml
Friday,5,050_2004.xml
Thursday,1,050_2004.xml
Saturdays,9,050_2005.xml
Sundays,9,050_2005.xml
Sunday,15,050_2005.xml
Saturday,3,050_2005.xml
Monday,13,050_2005.xml
Friday,5,050_2005.xml
Thursday,1,050_2005.xml
Saturdays,9,050_2006.xml
Sundays,9,050_2006.xml
Sunday,15,050_2006.xml
Saturday,3,050_2006.xml
Monday,13,050_2006.xml
Friday,5,050_2006.xml
Thursday,1,050_2006.xml
Saturdays,9,050_2007.xml
Sundays,9,050_2007.xml
Sunday,15,050_2007.xml
Saturday,3,050_2007.xml
Monday,13,050_2007.xml
Friday,5,050_2007.xml
Thursday,1,050_2007.xml
Saturdays,9,050_2008.xml
Sundays,9,050_2008.xml
Sunday,15,050_2008.xml
Saturday,3,050_2008.xml
Monday,13,050_2008.xml
Friday,5,050_2008.xml
Thursday,1,050_2008.xml
Saturdays,9,050_2009.xml
Sundays,9,050_2009.xml
Sunday,15,050_2009.xml
Saturday,3,050_2009.xml
Monday,13,050_2009.xml
Friday,5,050_2009.xml
Thursday,1,050_2009.xml
Monday,14,050_2010.xml
Saturdays,9,050_2010.xml
Sundays,9,050_2010.xml
Sunday,15,050_2010.xml
Saturday,3,050_2010.xml
Friday,5,050_2010.xml
Thursday,1,050_2010.xml
Monday,14,050_2011.xml
Saturdays,9,050_2011.xml
Sundays,9,050_2011.xml
Sunday,15,050_2011.xml
Saturday,3,050_2011.xml
Friday,5,050_2011.xml
Thursday,1,050_2011.xml
Monday,14,050_2012.xml
Saturdays,9,050_2012.xml
Sundays,9,050_2012.xml
Sunday,15,050_2012.xml
Saturday,3,050_2012.xml
Friday,5,050_2012.xml
Thursday,1,050_2012.xml
Monday,14,050_2013.xml
Saturdays,9,050_2013.xml
Sundays,9,050_2013.xml
Sunday,15,050_2013.xml
Saturday,3,050_2013.xml
Friday,5,050_2013.xml
Thursday,1,050_2013.xml
Monday,14,050_2014.xml
Saturdays,9,050_2014.xml
Sundays,9,050_2014.xml
Sunday,19,050_2014.xml
Saturday,3,050_2014.xml
Friday,5,050_2014.xml
Thursday,1,050_2014.xml
Monday,14,050_2015.xml
Saturdays,9,050_2015.xml
Sundays,9,050_2015.xml
Sunday,19,050_2015.xml
Saturday,3,050_2015.xml
Friday,5,050_2015.xml
Thursday,1,050_2015.xml
Monday,14,050_2016.xml
