text,counts,file
(14-2202-0-1-806),1,020_1994.xml
(20-4444-0-3-155),1,020_1994.xml
(20-1850-0-1-351),1,020_1994.xml
(60-0113-0-1-601),1,020_1994.xml
(11-8242-0-7-155),1,020_1994.xml
(75-4305-0-3-553),1,020_1994.xml
(91-0240-01-502),1,020_1994.xml
(20-5737-0-2-852),1,020_1994.xml
(95-5190-0-2-403),2,020_1994.xml
(75-4430-03-551),1,020_1994.xml
(15-0104-0-1-153),1,020_1994.xml
(24-0200-0-1-805),1,020_1994.xml
(10-0941-0-1-752),1,020_1994.xml
(03-5175-0-2-376),1,020_1994.xml
(75-0580-0-1-572),1,020_1994.xml
(97-0040-0-1-054),1,020_1994.xml
(14-0415-0-1-806),1,020_1994.xml
(75-0404-0-1-571),1,020_1994.xml
(20-2111-0-1-851),1,020_1994.xml
(14-0418-0-1-852),1,020_1994.xml
(00-0215-0-1-801),1,020_1994.xml
(18-4020-0-3-372),1,020_1994.xml
(84-8930-0-7-705),1,020_1994.xml
(89-0302-0-1-271),1,020_1994.xml
(89-0303-0-1-271),1,020_1994.xml
(64-4110-0-3-999),1,020_1994.xml
(46-0300-0-1-401),1,020_1994.xml
(89-5068-0-2-271),1,020_1994.xml
(89-4452-0-3-271),1,020_1994.xml
(20-8144-0-7-601),1,020_1994.xml
(56-3400-0-1-054),1,020_1994.xml
(24-8135-0-7-602),1,020_1994.xml
(05-0107-0-1-801),1,020_1994.xml
(19-8186-0-7-602),1,020_1994.xml
(10-8110-0-7-602),1,020_1994.xml
(10-8122-0-7-602),1,020_1994.xml
(10-8124-0-7-602),1,020_1994.xml
(16-9971-0-7-601),1,020_1994.xml
(97-8097-0-7-602),1,020_1994.xml
(13-1450-0-1-306),1,020_1994.xml
(47-0105-0-1-802),1,020_1994.xml
(60-8011-0-7-601),1,020_1994.xml
(60-8012-0-7-602),1,020_1994.xml
(69-0241-0-1-403),1,020_1994.xml
(75-0379-0-1-551),1,020_1994.xml
(16-1521-0-1-600),1,020_1994.xml
(75-0409-0-1-601),1,020_1994.xml
(23-8115-0-7-602),1,020_1994.xml
(72-4340-0-3-151),1,020_1994.xml
(12-4140-0-3-351),1,020_1994.xml
(20-0114-0-1-271),1,020_1994.xml
(20-4109-0-3-803),1,020_1994.xml
(86-0162-0-1-451),1,020_1994.xml
(25-4468-0-3-371),1,020_1994.xml
(13-4406-0-3-452),1,020_1994.xml
(24-8424-0-8-602),1,020_1994.xml
